107
detection	body_part	cost
1	4	-0.93381
2	4	-0.28034
3	11	9.2102
4	3	-4.0795
5	3	-4.116
6	4	-3.7862
7	10	1.0953
8	6	0.16025
9	1	-4.8642
10	3	1.3156
11	9	-2.1205
12	5	-3.7205
13	10	-1.429
14	6	0.2954
15	1	-3.1891
16	6	0.75463
17	7	-1.5116
18	9	-1.412
19	12	-0.39605
20	5	-1.1939
21	10	-2.8808
22	10	-3.2077
23	14	0.29618
24	11	-2.3407
25	6	-1.2556
26	6	-1.1176
27	12	-1.2977
28	8	-0.028552
29	9	0.34858
30	12	-1.9751
31	8	0.18738
32	2	-2.8885
33	7	-0.13705
34	7	0.37408
35	8	-1.2306
36	12	-1.9323
37	8	-0.28184
38	13	-0.82239
39	13	-1.5151
40	14	-0.99008
41	14	0.38115
42	8	-1.3379
43	13	-1.3743
44	8	-0.76673
45	8	-0.44363
46	10	0.36342
47	10	-0.72828
48	10	-0.98841
49	13	0.34984
50	14	1.1246
51	9	-2.1759
52	9	-0.8984
53	9	-1.9782
54	11	9.2102
55	11	9.2102
56	11	9.2102
57	3	-1.2363
58	3	-3.6275
59	12	-0.64901
60	3	-2.1424
61	12	-1.5753
62	12	-1.0636
63	12	0.056511
64	14	-1.3393
65	3	0.08467
66	12	-1.3233
67	12	-0.88084
68	14	0.1756
69	3	-0.5086
70	12	0.12129
71	11	9.2102
72	4	-0.6602
73	4	-2.2438
74	4	-1.8639
75	14	0.39843
76	1	-2.4304
77	1	0.033018
78	11	9.2102
79	4	1.1435
80	13	0.46621
81	1	-0.45002
82	1	-3.8806
83	1	-2.8212
84	1	-0.34137
85	13	0.51049
86	11	9.2102
87	5	0.21013
88	1	-0.9479
89	5	0.39458
90	11	9.2102
91	13	-0.70314
92	13	-2.284
93	13	0.36707
94	5	-4.7738
95	6	-1.4823
96	6	-1.1547
97	6	-0.70013
98	6	-0.11284
99	6	0.5002
100	7	-2.3366
101	7	-3.6281
102	11	9.2102
103	11	9.2102
104	7	1.3461
105	8	-3.2586
106	7	1.0162
107	2	-1.9802
detection1	detection2	cost
1	2	-5.6071
4	5	-5.6071
1	6	-3.7143
2	6	-3.2674
4	10	-3.2674
5	10	-4.8231
7	13	-5.6071
8	14	-5.6071
9	15	-5.6071
8	16	-1.5143
14	16	-1.8214
11	18	-4.8231
12	20	-4.8231
7	21	-3.7143
13	21	-5.6071
7	22	-3.2674
13	22	-4.8231
21	22	-5.6071
3	24	27.0414
8	25	-3.2674
14	25	-4.8231
16	25	-3.2674
8	26	-2.1462
14	26	-3.2674
16	26	-4.8231
25	26	-5.6071
19	27	-4.8231
11	29	-3.2674
18	29	-5.6071
19	30	-5.6071
27	30	-5.6071
28	31	-5.6071
17	33	-2.1462
17	34	-3.2674
33	34	-1.8214
28	35	-4.8231
31	35	-3.2674
19	36	-3.7143
27	36	-4.8231
30	36	-5.6071
28	37	-4.8231
31	37	-5.6071
35	37	-3.7143
38	39	-5.6071
23	40	-3.7143
23	41	-2.1462
40	41	-3.7143
28	42	-3.2674
31	42	-2.1462
35	42	-5.6071
37	42	-3.2674
38	43	-4.8231
39	43	-5.6071
28	44	-1.5143
31	44	-0.67521
35	44	-3.7143
37	44	-2.1462
42	44	-5.6071
28	45	-1.8214
31	45	-1.5143
35	45	-3.2674
37	45	-3.2674
42	45	-4.8231
44	45	-5.6071
7	46	6.1496
13	46	4.6202
21	46	3.2076
22	46	4.6202
7	47	5.1977
13	47	3.5372
21	47	1.9643
22	47	3.2076
46	47	-5.6071
7	48	4.4715
13	48	2.6933
21	48	0.96511
22	48	1.9643
46	48	-3.7143
47	48	-5.6071
38	49	-3.7143
39	49	-3.2674
43	49	-4.8231
23	50	0.30445
40	50	-3.2674
41	50	-0.67521
11	51	8.5614
18	51	5.8845
29	51	4.6202
11	52	6.1496
18	52	3.5372
29	52	1.9643
51	52	-3.7143
11	53	8.783
18	53	6.1496
29	53	4.6202
51	53	-4.8231
52	53	-4.8231
3	54	16.5921
24	54	12.9744
3	55	19.4026
24	55	9.9513
54	55	-3.7143
3	56	17.9658
24	56	14.0819
54	56	-5.6071
55	56	-3.2674
4	57	13.4073
5	57	13.6628
10	57	12.262
4	58	15.2143
5	58	15.293
10	58	13.6628
57	58	-4.8231
19	59	14.5743
