132
detection	body_part	cost
1	8	-0.35665
2	11	9.2102
3	11	9.2102
4	11	9.2102
5	5	-1.0558
6	11	9.2102
7	14	1.2579
8	9	0.2608
9	5	0.8034
10	5	0.6421
11	10	1.1481
12	13	-0.43614
13	3	-4.0402
14	9	0.21794
15	4	0.17688
16	9	-0.83747
17	10	0.88502
18	7	0.28087
19	13	-1.0888
20	13	0.2006
21	13	1.0868
22	11	1.1616
23	14	0.49725
24	3	-2.9312
25	4	-2.5058
26	4	-2.5331
27	9	-0.31528
28	4	-0.11708
29	9	-2.7444
30	9	0.48691
31	13	1.0389
32	11	9.2102
33	7	-2.1587
34	9	-0.40651
35	4	0.38683
36	9	-1.919
37	9	-2.2608
38	13	0.56375
39	13	0.63568
40	7	-0.63665
41	7	-3.823
42	13	0.1478
43	13	0.2978
44	1	-5.5857
45	1	-2.1895
46	12	-0.19848
47	10	1.0921
48	13	0.84826
49	10	1.1345
50	7	-1.8556
51	11	9.2102
52	12	-1.1004
53	12	-1.0936
54	10	0.83541
55	8	1.0043
56	11	9.2102
57	7	0.62378
58	2	-4.9504
59	6	-2.8837
60	7	-0.15418
61	2	-0.79771
62	7	0.12469
63	12	0.069417
64	12	0.0030278
65	5	0.12853
66	5	0.73869
67	13	1.228
68	11	9.2102
69	6	-2.382
70	2	-2.0881
71	7	-0.81148
72	8	-0.025496
73	8	-0.38228
74	12	0.036072
75	8	0.073349
76	6	-1.2021
77	6	-0.5873
78	2	-0.2222
79	2	-2.6262
80	7	-1.4111
81	2	-0.57112
82	8	-0.18752
83	8	-1.1239
84	8	-0.095787
85	6	-0.29519
86	6	-2.0073
87	5	0.57006
88	5	0.59083
89	5	0.66647
90	2	-0.58667
91	8	0.038875
92	8	-0.75247
93	6	-3.2669
94	6	0.059702
95	5	0.84342
96	12	-0.23621
97	12	0.70072
98	2	-0.52183
99	7	0.45346
100	8	0.22016
101	8	0.18087
102	1	0.36408
103	1	-0.16236
104	6	-1.8397
105	6	-0.59758
106	5	0.88289
107	12	0.45632
108	12	-0.32146
109	1	-1.51
110	1	-1.2022
111	6	0.024161
112	1	-1.2603
113	1	-2.1215
114	1	-1.6365
115	1	-1.6318
116	4	0.71363
117	4	0.77139
118	9	0.95408
119	3	0.62576
120	1	-0.13898
121	4	0.54195
122	4	0.61648
123	3	0.8369
124	4	0.40136
125	3	0.15742
126	3	0.75318
127	4	0.67494
128	3	0.73165
129	3	1.1732
130	3	-0.51656
131	3	-0.7351
132	3	0.71721
detection1	detection2	cost
2	3	-4.8231
2	4	-1.5143
3	4	0.071429
2	6	4.4715
3	6	5.8845
4	6	-1.5143
5	9	-3.2674
5	10	-3.7143
9	10	-5.6071
8	14	-4.8231
8	16	-3.2674
14	16	-1.8214
11	17	-4.8231
12	19	-5.6071
12	20	-3.2674
19	20	-3.7143
12	21	-1.5143
19	21	-1.8214
20	21	-5.6071
2	22	7.2837
3	22	7.7607
4	22	1.9643
6	22	-1.8214
7	23	-1.8214
13	24	-4.8231
15	25	-1.5143
15	26	-3.2674
25	26	-5.6071
8	27	-3.2674
14	27	-5.6071
16	27	-1.5143
15	28	-5.6071
25	28	-1.8214
26	28	-3.7143
8	29	-3.2674
14	29	-3.2674
16	29	-4.8231
27	29	-3.7143
8	30	-0.67521
14	30	0.30445
16	30	-4.8231
27	30	0.071429
29	30	-3.7143
12	31	9.9513
19	31	9.6406
20	31	13.4073
21	31	15.293
2	32	11.4286
3	32	8.783
4	32	15.3715
6	32	20.0604
22	32	19.0675
18	33	-4.8231
8	34	-1.5143
14	34	-3.7143
16	34	-0.67521
27	34	-5.6071
29	34	-3.2674
30	34	0.30445
15	35	-3.7143
25	35	-1.5143
26	35	-3.2674
28	35	-5.6071
8	36	-1.8214
14	36	-3.2674
16	36	-2.1462
27	36	-4.8231
29	36	-4.8231
30	36	-1.5143
34	36	-5.6071
8	37	-1.5143
14	37	-2.1462
16	37	-3.2674
27	37	-3.2674
29	37	-5.6071
30	37	-3.2674
34	37	-3.7143
36	37	-5.6071
12	38	12.262
19	38	11.8034
20	38	15.5276
21	38	17.3966
31	38	-4.8231
12	39	10.4572
19	39	9.9513
20	39	13.6628
21	39	15.5276
31	39	-5.6071
38	39	-5.6071
