93
detection	body_part	cost
1	11	9.2102
2	12	-0.66006
3	6	0.60142
4	11	9.2102
5	11	9.2102
6	9	-2.1409
7	11	9.2102
8	9	0.23909
9	12	-0.12811
10	11	9.2102
11	11	9.2102
12	3	-0.60538
13	6	-1.4282
14	11	9.2102
15	7	0.3522
16	1	-5.054
17	3	-3.1433
18	11	9.2102
19	11	9.2102
20	7	-0.1424
21	7	-0.2484
22	11	9.2102
23	7	0.21794
24	11	9.2102
25	7	0.59886
26	2	-4.2178
27	4	-0.87603
28	8	0.60452
29	2	-2.5852
30	11	9.2102
31	4	-3.7512
32	4	-2.7811
33	8	-1.2292
34	8	1.1905
35	4	-0.33513
36	11	9.2102
37	8	1.1829
38	8	1.1808
39	5	-0.70956
40	5	-4.0129
41	11	9.2102
42	11	9.2102
43	11	9.2102
44	11	9.2102
45	11	9.2102
46	11	9.2102
47	5	1.1939
48	11	9.2102
49	5	1.3844
50	11	9.2102
51	5	0.69178
52	5	-1.8085
53	11	9.2102
54	11	9.2102
55	11	9.2102
56	5	-3.3135
57	11	9.2102
58	11	9.2102
59	11	9.2102
60	8	0.45736
61	9	-0.060047
62	11	9.2102
63	4	-3.7049
64	4	-2.3268
65	8	0.13166
66	8	0.035126
67	9	-1.2346
68	9	-0.64139
69	9	-0.10503
70	11	9.2102
71	3	-4.316
72	8	-4.436
73	9	-1.2598
74	11	9.2102
75	2	-4.3647
76	3	-1.2415
77	11	9.2102
78	11	9.2102
79	12	0.14869
80	11	9.2102
81	1	-6.1884
82	12	1.149
83	12	-0.0063806
84	13	1.268
85	7	0.40483
86	12	-1.2009
87	11	9.2102
88	11	9.2102
89	6	-4.0878
90	7	-5.1352
91	6	-4.3482
92	7	-2.0791
93	6	-1.4019
detection1	detection2	cost
1	4	5.8845
1	5	7.7607
4	5	-5.6071
1	7	23.3135
4	7	36.2
5	7	38.086
6	8	-3.2674
2	9	-1.5143
1	10	8.6726
4	10	-3.2674
5	10	-3.7143
7	10	37.9286
1	11	23.7178
4	11	36.4045
5	11	38.2821
7	11	-5.6071
10	11	37.968
3	13	-1.5143
1	14	0.96511
4	14	10.4572
5	14	12.262
7	14	19.0675
10	14	11.523
11	14	19
12	17	-3.7143
1	18	4.4715
4	18	5.8845
5	18	7.2837
7	18	27.0414
10	18	5.1977
11	18	26.7811
14	18	0.96511
1	19	6.1496
4	19	3.5372
5	19	4.6202
7	19	30.7807
10	19	1.9643
11	19	30.546
14	19	4.4715
18	19	-3.7143
15	20	-3.2674
15	21	-3.7143
20	21	-5.6071
1	22	16.7404
4	22	27.2998
5	22	29.0571
7	22	7.2837
10	22	27.8615
11	22	6.1496
14	22	9.4302
18	22	15.5276
19	22	19.269
15	23	-0.67521
20	23	-1.5143
21	23	-3.2674
1	24	22.4287
4	24	33.2734
5	24	35.0367
7	24	5.1977
10	24	33.8406
11	24	3.5372
14	24	15.3715
18	24	21.4551
19	24	25.1758
22	24	-1.5143
15	25	0.96511
20	25	-0.67521
21	25	-2.1462
23	25	-5.6071
26	29	-4.8231
1	30	32.4299
4	30	43.4667
5	30	45.2289
7	30	8.1089
10	30	43.9913
11	30	6.2802
14	30	25.5573
18	30	31.5222
19	30	35.2048
22	30	8.6726
24	30	2.6933
27	31	-4.8231
27	32	-3.2674
31	32	-5.6071
28	33	-4.8231
28	34	-4.8231
33	34	-3.7143
27	35	-3.7143
31	35	-4.8231
32	35	-3.2674
1	36	37.173
4	36	47.5232
5	36	49.2226
7	36	14.0819
