135
detection	body_part	cost
1	3	-0.11048
2	4	0.14631
3	4	-0.85028
4	4	-0.59873
5	4	0.74609
6	3	-1.9304
7	4	0.37597
8	5	0.82111
9	11	9.2102
10	11	9.2102
11	3	-0.66955
12	9	0.77021
13	9	0.8575
14	11	9.2102
15	10	1.2212
16	10	0.69069
17	11	9.2102
18	11	9.2102
19	11	9.2102
20	11	9.2102
21	11	9.2102
22	11	9.2102
23	9	0.60179
24	9	0.053955
25	9	0.16171
26	10	0.96729
27	10	0.52882
28	10	0.44362
29	11	9.2102
30	11	9.2102
31	11	9.2102
32	11	9.2102
33	1	-0.91173
34	3	0.39178
35	10	1.1609
36	10	1.0139
37	11	9.2102
38	11	9.2102
39	1	-2.142
40	12	1.0724
41	3	1.0451
42	11	9.2102
43	11	9.2102
44	6	1.1683
45	2	1.2344
46	7	0.61866
47	7	1.0566
48	12	0.23965
49	1	0.048352
50	12	0.92917
51	11	9.2102
52	6	0.43056
53	7	-0.53706
54	1	-0.6917
55	11	9.2102
56	13	1.2045
57	11	9.2102
58	14	1.3083
59	14	1.2735
60	11	9.2102
61	11	9.2102
62	11	9.2102
63	6	0.19409
64	6	-2.1528
65	6	-0.24627
66	7	-0.73115
67	1	-0.44727
68	11	9.2102
69	11	9.2102
70	13	1.0546
71	11	9.2102
72	11	9.2102
73	14	1.1582
74	14	0.65266
75	11	9.2102
76	11	9.2102
77	6	-1.1625
78	7	-1.1266
79	7	-1.1626
80	6	1.2212
81	11	9.2102
82	7	-0.33807
83	6	-0.14183
84	6	-0.14003
85	11	9.2102
86	7	1.007
87	11	9.2102
88	11	9.2102
89	9	0.74412
90	3	-0.83538
91	9	-1.6546
92	9	-2.2186
93	9	0.32751
94	3	1.3782
95	3	-2.2648
96	9	-1.6979
97	11	9.2102
98	3	-3.3503
99	9	0.40181
100	1	-2.5534
101	1	-2.4267
102	3	-0.68442
103	3	0.74547
104	12	0.56196
105	6	-0.066489
106	1	-5.1059
107	12	-0.82634
108	6	0.21039
109	1	-2.3828
110	7	0.82238
111	12	0.43626
112	12	-1.338
113	6	-1.7224
114	7	-1.5168
115	12	0.27539
116	12	-2.0535
117	2	-4.0055
118	6	-0.75634
119	7	-3.5577
120	7	-0.29156
121	4	-4.8179
122	4	-5.0848
123	4	-2.2093
124	12	-0.04953
125	2	0.80067
126	4	0.31859
127	8	0.50929
128	11	9.2102
129	11	9.2102
130	13	-1.2204
131	13	0.6113
132	8	-3.6555
133	5	-3.7808
134	5	-4.3434
135	5	-1.5201
detection1	detection2	cost
2	3	-5.6071
2	4	-3.7143
3	4	-5.6071
2	5	-1.8214
3	5	-3.7143
4	5	-5.6071
1	6	-4.8231
2	7	-1.5143
3	7	-3.2674
4	7	-4.8231
5	7	-5.6071
9	10	-1.8214
1	11	-3.7143
6	11	-4.8231
12	13	-3.7143
9	14	0.30445
10	14	5.8845
15	16	-3.7143
9	17	-3.2674
10	17	-4.8231
14	17	3.8571
9	18	-1.5143
10	18	-5.6071
14	18	5.75
17	18	-5.6071
9	19	2.1517
10	19	-3.2674
14	19	9.5357
17	19	-1.8214
18	19	-3.7143
9	20	5.8845
10	20	0.30445
14	20	13.3214
17	20	1.9643
18	20	0.071429
19	20	-3.7143
9	21	32.4299
10	21	38.086
14	21	24.7342
17	21	36.0768
18	21	37.968
19	21	41.7507
20	21	45.5338
9	22	11.8034
10	22	17.3966
14	22	4.0138
17	22	15.293
18	22	17.1798
19	22	20.9559
20	22	24.7342
21	22	13.3214
12	23	-4.8231
13	23	-1.5143
12	24	-5.6071
13	24	-3.2674
23	24	-5.6071
12	25	-4.8231
13	25	-4.8231
23	25	-3.7143
24	25	-5.6071
15	26	-5.6071
16	26	-3.2674
15	27	-4.8231
16	27	-4.8231
26	27	-5.6071
15	28	-3.2674
16	28	-5.6071
26	28	-3.7143
27	28	-5.6071
9	29	0.96511
10	29	-3.2674
14	29	7.7607
17	29	-3.2674
18	29	-4.8231
19	29	-4.8231
20	29	-1.5143
