114
detection	body_part	cost
1	4	0.4351
2	11	-2.6666
3	11	9.2102
4	9	0.35591
5	11	-0.096264
6	11	9.2102
7	4	-3.9268
8	10	1.0921
9	3	-4.9703
10	9	-2.3062
11	9	-3.1266
12	11	9.2102
13	5	0.34305
14	11	9.2102
15	3	-3.1918
16	5	-3.4093
17	5	-1.7206
18	9	1.0404
19	9	-1.27
20	9	0.69999
21	10	-3.2878
22	13	-0.00735
23	14	-2.8576
24	1	-2.332
25	5	-3.8145
26	13	1.1268
27	14	0.65744
28	5	-5.0679
29	11	9.2102
30	1	-4.831
31	1	-3.0698
32	12	-1.8364
33	12	-2.992
34	12	-2.2874
35	13	-2.9694
36	13	-1.2357
37	5	-3.1548
38	7	-1.9438
39	12	-0.54031
40	8	0.040084
41	11	9.2102
42	4	-3.3036
43	2	-2.7781
44	6	-3.3402
45	6	-0.78255
46	8	-0.85609
47	4	-4.4634
48	6	-2.0946
49	8	-1.2932
50	4	0.56531
51	11	9.2102
52	8	-0.47779
53	4	-0.14944
54	3	-4.253
55	3	-3.7379
56	11	9.2102
57	3	-0.092778
58	9	1.134
59	11	9.2102
60	10	0.80581
61	2	-4.1543
62	9	-1.6938
63	9	-2.048
64	10	-0.70367
65	10	0.10758
66	11	-0.89021
67	2	-5.3648
68	9	-0.017629
69	10	-0.35712
70	10	1.1661
71	1	-6.4922
72	9	0.20446
73	11	9.2102
74	14	-0.45214
75	11	9.2102
76	1	0.3114
77	11	9.2102
78	11	9.2102
79	11	9.2102
80	12	0.24683
81	6	1.0324
82	11	9.2102
83	12	-0.85217
84	12	-2.3601
85	12	-1.11
86	12	0.69395
87	11	9.2102
88	11	1.2003
89	13	-0.2641
90	13	-0.1251
91	14	1.1256
92	6	-3.5987
93	11	9.2102
94	12	0.39295
95	12	-0.27479
96	13	0.29345
97	13	0.85049
98	11	0.095293
99	14	-0.22328
100	6	-4.5275
101	6	-2.988
102	11	9.2102
103	7	0.41223
104	7	1.1531
105	8	1.3388
106	8	0.51087
107	13	1.3086
108	14	1.3848
109	14	1.2321
110	7	-3.2792
111	8	-2.1113
112	7	-2.9001
113	7	-1.7047
114	8	0.33507
detection1	detection2	cost
2	3	28.5141
2	5	-3.2674
3	5	24.6786
2	6	36.2
3	6	0.30445
5	6	32.295
1	7	-3.2674
4	10	-3.7143
4	11	-3.2674
10	11	-5.6071
2	12	10.4572
3	12	11.8034
5	12	6.2802
6	12	19.0675
2	14	44.1649
3	14	8.6726
5	14	40.1609
6	14	0.96511
12	14	26.624
9	15	-4.8231
13	16	36.0357
13	17	37.9286
16	17	-5.6071
4	18	-1.5143
10	18	-4.8231
11	18	-3.2674
4	19	-1.8214
10	19	-5.6071
11	19	-4.8231
18	19	-5.6071
4	20	0.53071
10	20	-1.5143
11	20	-3.2674
18	20	0.071429
19	20	-1.8214
8	21	-3.2674
13	25	34.1859
16	25	-4.8231
17	25	-3.2674
22	26	-1.5143
23	27	-3.2674
13	28	-3.2674
16	28	34.3146
17	28	36.2
25	28	32.295
2	29	46.7032
3	29	11.9882
5	29	42.6161
6	29	4.6202
12	29	28.9098
14	29	-3.2674
24	30	-4.8231
24	31	-5.6071
30	31	-5.6071
32	33	-5.6071
32	34	-3.7143
33	34	-5.6071
22	35	-3.7143
26	35	-1.5143
22	36	-2.1462
26	36	-4.8231
35	36	-3.7143
13	37	-1.5143
16	37	34.5282
17	37	36.4045
25	37	32.4299
28	37	-5.6071
32	39	-5.6071
33	39	-4.8231
34	39	-3.2674
2	41	15.6053
3	41	12.9744
5	41	11.4286
6	41	18.8644
12	41	0.30445
14	41	25.1758
29	41	26.624
1	42	29.785
7	42	30.2149
44	45	-5.6071
40	46	-5.6071
1	47	28.9098
7	47	29.0571
42	47	-4.8231
44	48	-4.8231
45	48	-3.2674
40	49	-3.7143
46	49	-5.6071
1	50	34.8256
7	50	35.0367
42	50	-2.1462
47	50	-1.5143
2	51	50.5648
3	51	17.9658
5	51	46.3717
6	51	11.4286
12	51	32.6089
14	51	4.4715
29	51	0.30445
41	51	28.9098
40	52	-1.8214
