90
detection	body_part	cost
1	5	-4.9845
2	5	-3.2333
3	4	-5.4873
4	3	-5.4227
5	3	-2.5148
6	4	0.52577
7	11	9.2102
8	11	9.2102
9	11	9.2102
10	9	-0.92303
11	10	-0.3796
12	9	-3.17
13	11	-4.5063
14	11	9.2102
15	11	9.2102
16	11	9.2102
17	10	-4.7863
18	11	9.2102
19	11	-0.45644
20	11	9.2102
21	11	9.2102
22	11	9.2102
23	1	-6.9572
24	11	9.2102
25	11	9.2102
26	11	9.2102
27	2	-6.2121
28	12	0.68091
29	6	-0.44216
30	13	-4.793
31	11	9.2102
32	12	-3.6072
33	14	-4.0876
34	6	-5.336
35	11	9.2102
36	12	-0.84612
37	13	-2.0636
38	14	-1.8645
39	7	-0.13497
40	7	-1.2976
41	11	9.2102
42	7	-3.573
43	11	9.2102
44	11	9.2102
45	4	-2.6235
46	5	-0.72352
47	8	-1.5903
48	8	-3.288
49	4	-0.74873
50	8	0.09762
51	11	9.2102
52	11	9.2102
53	8	0.6587
54	8	-2.2221
55	10	-1.069
56	11	-4.1307
57	11	-2.5372
58	3	-3.0124
59	3	-4.7961
60	8	-4.181
61	10	-3.7734
62	11	9.2102
63	9	-3.2304
64	11	9.2102
65	8	0.28872
66	11	9.2102
67	9	-1.6076
68	2	-5.3771
69	1	-4.155
70	11	9.2102
71	1	-6.519
72	7	1.0326
73	11	9.2102
74	11	9.2102
75	7	-0.73258
76	12	-3.1424
77	11	9.2102
78	11	9.2102
79	11	9.2102
80	7	-4.3951
81	11	9.2102
82	13	-2.8929
83	11	9.2102
84	6	-5.3457
85	6	-0.83498
86	13	-4.346
87	6	-5.0265
88	11	9.2102
89	14	-4.7094
90	14	-1.4696
detection1	detection2	cost
1	2	-5.6071
4	5	-3.7143
3	6	-3.7143
7	8	4.0138
7	9	-4.8231
8	9	1.9643
10	12	-4.8231
7	13	32.4299
8	13	43.6422
9	13	34.1859
7	14	25.1758
8	14	13.6628
9	14	23.0214
13	14	64.4535
7	15	10.4572
8	15	-0.67521
9	15	8.1089
13	15	49.3173
14	15	7.6429
7	16	6.9156
8	16	-3.2674
9	16	4.4715
13	16	45.5338
14	16	11.4286
15	16	-3.7143
11	17	-3.7143
7	18	27.0414
8	18	38.086
9	18	28.663
13	18	-1.5143
14	18	58.75
15	18	43.6071
