150
detection	body_part	cost
1	11	9.2102
2	11	9.2102
3	5	-0.39502
4	3	-2.8977
5	11	0.51682
6	9	-0.2953
7	11	9.2102
8	10	0.4619
9	11	1.0895
10	11	1.0945
11	11	9.2102
12	9	-0.56319
13	10	0.23063
14	10	0.42838
15	11	9.2102
16	2	-2.5902
17	1	-3.4509
18	13	0.91
19	12	-1.3889
20	12	-0.8717
21	13	-0.83038
22	13	0.12471
23	11	9.2102
24	14	0.9804
25	11	9.2102
26	13	0.86313
27	6	-2.4656
28	11	9.2102
29	7	-2.2321
30	8	-1.9966
31	4	-1.7704
32	3	-3.7421
33	4	-3.6328
34	5	-0.98539
35	11	9.2102
36	11	9.2102
37	4	-2.3047
38	4	-4.5685
39	4	-2.3953
40	5	0.22311
41	4	-1.7483
42	9	-0.44825
43	5	0.085992
44	11	9.2102
45	4	-3.5148
46	9	-1.561
47	9	-1.1547
48	2	-3.466
49	1	-4.0183
50	12	-0.41096
51	6	-2.1454
52	6	-4.2727
53	7	-1.4647
54	12	-1.3377
55	8	-1.439
56	13	0.88977
57	7	-3.6829
58	8	-0.38972
59	6	-0.14266
60	6	0.41015
61	6	-0.35233
62	3	-0.14416
63	12	0.023613
64	1	-1.0468
65	3	-1.0935
66	3	-1.3434
67	1	-2.336
68	1	-2.8773
69	8	-0.28599
70	8	-1.7251
71	1	-2.3605
72	8	-3.3776
73	8	-2.821
74	1	-0.95119
75	7	-1.0516
76	7	-1.0396
77	2	-2.2397
78	2	-2.1491
79	3	-0.85802
80	4	-3.68
81	9	-0.16117
82	5	-2.3593
83	10	-3.8479
84	11	-3.9416
85	3	-3.873
86	9	-2.4266
87	5	0.17132
88	9	-0.84936
89	5	0.22274
90	9	-1.6695
91	14	-0.61428
92	2	-2.7234
93	1	-4.0828
94	12	0.039072
95	12	-1.4252
96	14	-2.3326
97	6	-1.0394
98	12	-2.5731
99	13	-4.0484
100	14	-4.2757
101	6	-2.8485
102	2	-0.069686
103	7	-1.434
104	12	-1.824
105	3	-0.074017
106	14	-2.3757
107	6	-1.8141
108	2	-2.6515
109	7	-1.7991
110	2	-0.13264
111	7	-0.32558
112	8	-0.63962
113	3	-0.67944
114	13	0.64206
115	4	-1.5524
116	3	0.37989
117	3	-1.4872
118	2	-0.18261
119	2	-0.81755
120	4	-4.344
121	5	0.18116
122	4	-2.071
123	1	-3.3504
124	1	-1.8119
125	5	-3.9969
126	10	-0.38538
127	1	-4.2463
128	5	-2.2645
129	10	-4.0436
130	11	-0.77623
131	11	9.2102
132	6	-2.191
133	6	-0.93347
134	6	-3.6345
135	9	-1.7449
136	9	-2.2129
137	7	-4.1658
138	7	-0.63268
139	8	-0.8753
140	8	-2.2933
141	13	-0.54235
142	13	-2.7773
143	12	-1.5671
144	12	-1.0722
145	13	-1.0338
146	8	-0.88468
147	7	-1.1944
148	14	0.051209
149	14	-1.1163
150	14	-0.21047
detection1	detection2	cost
1	2	-5.6071
1	5	-3.7143
2	5	-3.2674
1	7	8.6726
2	7	10.4572
5	7	7.7607
1	9	-1.5143
2	9	-0.67521
5	9	-4.8231
7	9	5.75
1	10	-1.5143
2	10	-1.8214
5	10	-4.8231
7	10	9.5357
9	10	-3.7143
1	11	-0.67521
2	11	-1.5143
5	11	-3.2674
7	11	11.4286
9	11	-1.8214
10	11	-5.6071
6	12	-5.6071
8	13	-5.6071
8	14	-4.8231
13	14	-5.6071
1	15	0.30445
2	15	0.071429
5	15	-3.2674
7	15	9.6406
9	15	-3.2674
10	15	-5.6071
11	15	-4.8231
19	20	-5.6071
18	21	-3.2674
18	22	-1.5143
21	22	-5.6071
1	23	5.8845
2	23	6.2802
5	23	2.1517
7	23	7.7607
9	23	0.071429
10	23	0.96511
11	23	1.9643
15	23	-0.67521
1	25	6.2802
2	25	5.8845
5	25	2.6933
7	25	12.8867
9	25	1.9643
10	25	0.30445
11	25	0.071429
15	25	-1.5143
23	25	-1.8214
