151
detection	body_part	cost
1	5	-0.30815
2	4	-1.9128
3	5	-2.709
4	3	-1.2538
5	10	-0.0023031
6	11	-2.2865
7	11	9.2102
8	9	-0.59692
9	10	-0.96203
10	11	-1.393
11	9	-1.0106
12	10	-0.2125
13	2	0.1194
14	4	-0.34289
15	4	-2.4141
16	5	-5.0901
17	3	-2.4708
18	4	-3.9054
19	4	-2.2766
20	5	-2.6135
21	5	-1.2198
22	3	-0.63913
23	3	-3.6114
24	4	0.18147
25	11	9.2102
26	10	-0.10064
27	9	-0.55372
28	9	-0.095005
29	11	-4.1772
30	9	-2.0354
31	10	-2.1313
32	10	-2.6377
33	9	-2.2357
34	10	-1.049
35	2	-4.2659
36	9	-0.71321
37	11	9.2102
38	1	-5.7485
39	12	-1.0718
40	12	0.86424
41	6	-2.7619
42	12	-2.8769
43	6	-0.80212
44	6	-4.1907
45	7	-2.7735
46	12	-1.0133
47	11	9.2102
48	13	0.066027
49	4	-0.9793
50	7	-4.0324
51	11	9.2102
52	3	-0.60162
53	3	-1.7832
54	5	0.37931
55	4	0.23577
56	10	-0.28382
57	7	-2.1663
58	11	9.2102
59	11	9.2102
60	13	-3.2831
61	9	-1.305
62	7	-0.53802
63	8	-0.90913
64	8	-5.0284
65	11	9.2102
66	14	0.40749
67	2	-1.404
68	1	-1.8108
69	1	-1.2809
70	11	9.2102
71	1	-1.0589
72	14	-4.6484
73	6	-1.6887
74	12	-1.2079
75	12	-1.6202
76	7	-0.13366
77	8	0.24817
78	12	-0.23845
79	7	-0.98113
80	11	9.2102
81	11	9.2102
82	11	9.2102
83	10	-1.4819
84	10	-1.5084
85	11	-4.2285
86	13	0.11515
87	13	-2.2012
88	10	-4.4748
89	11	9.2102
90	14	-1.8253
91	11	0.30463
92	11	9.2102
93	3	-0.86972
94	4	-3.0142
95	3	-3.0022
96	3	-3.078
97	4	-4.307
98	5	-1.6166
99	5	-0.28445
100	3	-3.7012
101	4	-1.7305
102	5	-1.1015
103	5	-2.8543
104	9	-0.36629
105	9	-0.27218
106	3	-1.3524
107	9	-3.428
108	2	0.43964
109	1	-3.7872
110	9	-0.62647
111	2	-3.9413
112	1	-4.329
113	1	-5.1676
114	2	-2.3334
115	1	-2.4236
116	1	-2.7333
117	1	-3.0176
118	11	9.2102
119	11	9.2102
120	6	-1.7568
121	6	-2.3689
122	8	-0.31138
123	12	-3.7183
124	6	-0.37687
125	8	0.29983
126	6	-4.7166
127	12	-1.8407
128	7	-1.5583
129	8	-0.20197
130	8	-0.62596
131	6	-4.1908
132	8	-2.9148
133	7	-0.4907
134	8	-0.065599
135	7	-2.9475
136	8	0.328
137	13	-0.94793
138	7	-5.0468
139	13	-2.8918
140	11	9.2102
141	8	-0.93634
142	14	-3.6904
143	14	-0.67026
144	7	-1.6286
145	11	9.2102
146	6	-1.3638
147	6	-1.5104
148	2	-0.94984
149	1	-2.1866
150	12	0.35282
151	11	9.2102
detection1	detection2	cost
1	3	-4.8231
6	7	-3.7143
5	9	-4.8231
6	10	-5.6071
7	10	-3.2674
8	11	-4.8231
5	12	-3.7143
9	12	-4.8231
2	14	2.6933
2	15	5.8845
14	15	-1.8214
1	16	9.9513
3	16	7.2837
4	17	1.9643
2	18	6.1496
14	18	-3.2674
15	18	-4.8231
2	19	7.2837
14	19	-1.5143
15	19	-5.6071
18	19	-5.6071
1	20	9.9513
3	20	7.2837
16	20	-4.8231
1	21	12.6213
3	21	9.9513
16	21	-4.8231
20	21	-3.7143
4	22	4.0138
17	22	-4.8231
4	23	4.0138
17	23	-4.8231
22	23	-3.7143
2	24	8.783
14	24	-0.67521
15	24	-3.7143
18	24	-4.8231
19	24	-5.6071
6	25	5.1977
7	25	7.2837
10	25	3.5372
5	26	17.8953
9	26	15.3715
12	26	16.443
8	27	8.5614
11	27	5.8845
8	28	11.4286
11	28	8.783
27	28	-3.7143
6	29	20.4477
7	29	17.1798
10	29	19.6016
25	29	22.8448
8	30	9.9513
11	30	7.2837
27	30	-5.6071
28	30	-3.2674
5	31	16.7404
9	31	14.0819
12	31	14.5743
26	31	-2.1462
5	32	18.2456
9	32	15.6053
12	32	16.2174
26	32	-3.2674
31	32	-5.6071
8	33	11.4286
11	33	8.783
27	33	-3.7143
28	33	-2.1462
30	33	-5.6071
5	34	17.9658
9	34	15.293
12	34	15.6053
26	34	-0.67521
