129
detection	body_part	cost
1	2	-3.7616
2	11	9.2102
3	8	-1.4778
4	8	0.45812
5	8	-4.4448
6	10	-0.46118
7	11	-2.2226
8	10	-0.78142
9	10	-3.9342
10	11	-2.2653
11	11	-2.7554
12	1	-0.32807
13	1	-0.41974
14	6	-0.50528
15	5	-0.10674
16	1	-4.8979
17	6	-2.6355
18	12	-0.50182
19	12	-0.063622
20	13	0.84288
21	7	-3.1418
22	7	-0.78111
23	12	-1.6069
24	3	-2.1512
25	5	0.41086
26	9	0.25685
27	9	-0.33117
28	12	-0.38338
29	12	0.13396
30	13	-4.1489
31	3	-1.7347
32	3	-2.2171
33	5	-0.20943
34	9	-1.1008
35	11	0.8579
36	4	0.19361
37	5	-0.67684
38	3	-0.076322
39	4	1.3513
40	5	-0.6029
41	9	0.24789
42	9	-0.15018
43	13	-0.26267
44	5	-1.5494
45	5	-0.66181
46	5	-0.45389
47	5	-0.75211
48	5	-0.24199
49	11	9.2102
50	5	0.072538
51	4	0.47004
52	4	-2.403
53	4	-0.43721
54	4	-1.8032
55	8	-0.24229
56	7	0.20863
57	8	0.065715
58	8	-1.0094
59	8	-0.90075
60	14	1.1019
61	7	-1.4293
62	7	-2.4654
63	7	-1.6001
64	14	-0.78011
65	7	0.55864
66	7	-0.58331
67	14	0.89417
68	2	1.1652
69	6	0.52715
70	6	-2.1735
71	6	-1.829
72	6	0.041243
73	14	0.43381
74	2	-1.7372
75	6	0.25052
76	2	-3.1692
77	1	-0.65027
78	1	-0.44624
79	1	-2.0065
80	1	-2.0405
81	1	-0.56858
82	1	-1.6943
83	3	0.4042
84	1	-0.031343
85	12	0.076723
86	3	0.83539
87	3	-0.35449
88	3	-0.31368
89	9	0.2811
90	12	-0.62387
91	3	0.30348
92	12	0.67499
93	9	-0.13534
94	12	-0.96159
95	9	-0.14109
96	12	-0.8532
97	9	-0.0074454
98	12	-0.50316
99	13	0.60836
100	13	0.31038
101	13	0.14159
102	9	0.55461
103	9	0.37957
104	10	0.36068
105	13	0.38756
106	10	0.74112
107	10	-1.2215
108	10	-1.7238
109	11	-0.18237
110	14	-0.71283
111	10	-0.32486
112	14	0.71097
113	11	-0.60832
114	14	-0.20185
115	11	-0.81434
116	14	0.048079
117	11	-0.70399
118	14	0.31111
119	8	-2.7893
120	11	0.8447
121	6	-0.7805
122	2	-0.8858
123	6	-1.7855
124	7	0.8631
125	7	-2.4627
126	1	-1.7662
127	13	0.089573
128	12	-0.11306
129	3	-0.67235
detection1	detection2	cost
3	4	-1.5143
3	5	-4.8231
4	5	-3.7143
2	7	87.2185
6	8	-5.6071
6	9	-3.2674
8	9	-3.7143
2	10	85.4237
7	10	-4.8231
2	11	87.3131
7	11	-5.6071
10	11	-5.6071
12	13	-5.6071
12	16	-3.2674
13	16	-3.7143
14	17	-4.8231
18	19	0.30445
21	22	-3.7143
18	23	-3.7143
19	23	0.30445
15	25	0.30445
26	27	-3.7143
18	28	-1.5143
19	28	-0.67521
23	28	-4.8231
18	29	-1.5143
19	29	2.6933
23	29	-4.8231
28	29	-3.7143
20	30	-0.67521
24	31	-4.8231
24	32	-5.6071
31	32	-5.6071
15	33	2.1517
25	33	-5.6071
26	34	-3.2674
27	34	-5.6071
2	35	63.223
7	35	23.0214
10	35	20.4477
11	35	22.1279
15	37	3.8571
25	37	-3.2674
33	37	-4.8231
24	38	-1.5143
31	38	-2.1462
32	38	-3.2674
36	39	-4.8231
15	40	6.2802
25	40	-1.5143
33	40	-3.2674
37	40	-3.2674
26	41	-1.8214
27	41	-0.67521
34	41	-2.1462
26	42	-1.5143
27	42	-1.5143
34	42	-3.2674
41	42	-5.6071
20	43	2.6933
30	43	-1.5143
15	44	7.6429
25	44	0.30445
33	44	-1.5143
37	44	-3.7143
40	44	-3.2674
15	45	8.1089
25	45	0.30445
33	45	-1.5143
37	45	-2.1462
40	45	-5.6071
44	45	-3.7143
15	46	9.9513
25	46	3.5372
33	46	1.9643
37	46	-0.67521
40	46	0.96511
44	46	-3.2674
45	46	0.30445
15	47	9.5357
25	47	2.1517
33	47	0.30445
37	47	-1.8214
40	47	-2.1462
44	47	-5.6071
45	47	-3.2674
46	47	-3.7143
15	48	9.6406
25	48	1.9643
33	48	0.071429
37	48	-1.5143
40	48	-3.2674
44	48	-4.8231
45	48	-4.8231
46	48	-1.8214
47	48	-5.6071
2	49	62.0995
7	49	30.3571
10	49	27.7092
11	49	29.2526
35	49	0.96511
15	50	11.8034
25	50	5.1977
33	50	3.5372
37	50	0.96511
40	50	1.9643
44	50	-2.1462
45	50	0.96511
46	50	-5.6071
47	50	-3.2674
48	50	-1.5143
36	51	2.6933
39	51	0.30445
36	52	3.8571
39	52	2.1517
51	52	-3.2674
36	53	4.4715
39	53	2.1517
51	53	-5.6071
52	53	-3.7143
36	54	5.8845
39	54	3.8571
51	54	-3.2674
52	54	-4.8231
53	54	-4.8231
3	55	24.7342
4	55	23.7178
5	55	23.0214
21	56	13.3214
22	56	13.6628
3	57	26.624
4	57	24.9005
5	57	24.6786
55	57	-3.2674
3	58	26.5714
4	58	25.1758
5	58	24.7342
55	58	-4.8231
57	58	-5.6071
3	59	26.624
4	59	25.5573
5	59	24.9005
55	59	-5.6071
57	59	-3.7143
58	59	-5.6071
21	61	18.8644
22	61	17.7539
56	61	2.6933
21	62	19.6016
22	62	18.2456
56	62	4.4715
61	62	-5.6071
21	63	20.6393
22	63	19.6016
56	63	3.5372
61	63	-5.6071
62	63	-4.8231
60	64	-3.7143
21	65	21.885
22	65	21.1441
56	65	3.2076
61	65	-3.2674
62	65	-2.1462
63	65	-4.8231
